salary,city,workYear,district,companySize,companyFullName,industryField,companyLabelList,positionLables,firstType,positionAdvantage,positionName,education,financeStage,createTime
15k-30k,上海,1-3年,虹口区,150-500人,通联数据股份公司,金融,"五险一金,通讯津贴,带薪年假,节日礼物,","云计算,软件开发,linux,Java,",开发/测试/运维类,"快速成长,薪资福利,行业大牛",python开发工程师,本科,不需要融资,2017-12-19 10:40:49
15k-22k,上海,1-3年,长宁区,50-150人,阿基米德（上海）传媒有限公司,"移动互联网,电子商务","年底双薪,带薪年假,绩效奖金,扁平管理,","云计算,linux,php,Java,解决方案,",技术,五险一金、补充公积金、13薪、饭贴,Python软件开发工程师,本科,B轮,2017-12-18 14:28:17
15k-30k,上海,3-5年,浦东新区,2000人以上,平安银行股份有限公司,金融,"带薪年假,午餐补助,定期体检,绩效奖金,","linux,OpenStack,",开发/测试/运维类,福利待遇佳,Python开发,本科,上市公司,2017-12-20 16:54:05
18k-25k,上海,3-5年,浦东新区,150-500人,上海爱福窝云技术有限公司,电子商务,"在线家装设计,年底双薪,五险一金,带薪年假,","高级,node.js,golang,",开发/测试/运维类,"午餐补助,绩效奖金,福利待遇好",Python开发工程师,本科,A轮,2017-12-14 13:39:02
12k-19k,上海,3-5年,浦东新区,500-2000人,深圳市紫川软件有限公司,"电子商务,金融","节日礼物,年底双薪,绩效奖金,岗位晋升,",,开发/测试/运维类,员工旅游 员工体检 五险一金,python开发工程师,大专,不需要融资,2017-12-21 08:28:08
10k-15k,上海,3-5年,杨浦区,15-50人,广州杰颉软件科技有限公司,"信息安全,数据服务","股票期权,绩效奖金,带薪年假,弹性工作,","Java,MySQL,",开发/测试/运维类,"发展空间大,公司氛围好,员工股权,管理规范",Python开发工程师,本科,A轮,2017-12-19 11:03:30
15k-30k,上海,5-10年,浦东新区,150-500人,上海基分文化传播有限公司,移动互联网,,"中级,爬虫,",开发/测试/运维类,发展空间,Python高级开发,本科,不需要融资,2017-12-19 11:40:16
10k-15k,上海,1-3年,浦东新区,150-500人,两鲜商贸（上海）有限公司,电子商务,"技能培训,节日礼物,带薪年假,岗位晋升,","电商,后端开发,php,Java,",开发/测试/运维类,"氛围轻松,大牛带教",Python 开发工程师,大专,A轮,2017-12-20 09:47:37
10k-16k,上海,1-3年,普陀区,150-500人,上海庆科信息技术有限公司,硬件,"互联网风口,物联网、高新,Wi-Fi,带薪年假,","linux,flask,django,",开发/测试/运维类,"发展空间大,晋升机会多",python开发工程师,本科,A轮,2017-12-20 10:02:21
15k-25k,上海,3-5年,杨浦区,500-2000人,上海优刻得信息科技有限公司,"数据服务,企业服务","节日礼物,技能培训,股权激励计划,代码改变世界,","云计算,Java,",开发/测试/运维类,"六险一金,弹性工作,年终旅游,技术挑战",中级Python开发工程师,本科,D轮及以上,2017-12-21 01:07:25
22k-35k,上海,3-5年,徐汇区,2000人以上,北京爱奇艺科技有限公司,"广告营销,文化娱乐","绩效奖金,五险一金,交通补助,带薪年假,","php,Java,",开发/测试/运维类,与有趣的人做有趣的事,Python高级开发工程师,本科,D轮及以上,2017-12-20 09:45:26
13k-23k,上海,3-5年,徐汇区,150-500人,上海好体信息科技有限公司,"移动互联网,电子商务","年底双薪,股票期权,扁平管理,领导好,","软件开发,大数据,Java,MySQL,",开发/测试/运维类,"免费午餐,交通方便",高级Python开发工程师,本科,B轮,2017-12-20 17:21:57
12k-20k,上海,1-3年,虹口区,15-50人,上海炫体信息科技有限公司,"移动互联网,社交网络","节日礼物,年底双薪,专项奖金,带薪年假,","云计算,软件开发,",开发/测试/运维类,"五险一金,氛围佳,年度旅游,福利好",Python（年轻人的狂欢）,大专,不需要融资,2017-12-20 09:16:09
15k-25k,上海,1-3年,普陀区,2000人以上,拉扎斯网络科技（上海）有限公司,移动互联网,"节日礼物,绩效奖金,年度旅游,岗位晋升,","资深,高级,",开发/测试/运维类,弹性工作 年终奖 学习空间 高并发,Python工程师,本科,D轮及以上,2017-12-20 15:44:57
12k-24k,上海,3-5年,徐汇区,150-500人,上海众言网络科技有限公司,移动互联网,"技能培训,节日礼物,年底双薪,绩效奖金,","资深,web,",开发/测试/运维类,"季度旅游,带薪年假,下午茶,股票期权",高级Python开发,大专,B轮,2017-12-20 11:00:11
12k-24k,上海,1-3年,杨浦区,50-150人,上海骞云信息科技有限公司,"企业服务,数据服务","年底双薪,股票期权,带薪年假,定期体检,","云计算,php,MySQL,后端,研发,",技术,初创团队，福利好，有股权激励,Python开发,本科,B轮,2017-12-20 09:28:09
12k-24k,上海,1-3年,浦东新区,150-500人,上海思华科技股份有限公司,移动互联网,"节日礼物,年底双薪,专项奖金,股票期权,","软件开发,php,MySQL,后端,",开发/测试/运维类,六险一金 带薪病事假 福利待遇优,Python工程师,本科,D轮及以上,2017-12-19 10:38:40
15k-30k,上海,3-5年,杨浦区,15-50人,亿可能源科技（上海）有限公司,"移动互联网,数据服务","技能培训,带薪年假,绩效奖金,岗位晋升,","后端开发,Java,MySQL,",开发/测试/运维类,技术大牛,Python,本科,A轮,2017-12-07 10:03:05
8k-10k,上海,1-3年,浦东新区,50-150人,达而观信息科技（上海）有限公司,移动互联网,"股票期权,扁平管理,领导好,大牛团队,","C/C++,Java,",开发/测试/运维类,"六险一金,12天年假,专业培训,专业提升",Python开发工程师,本科,A轮,2017-12-19 14:06:11
15k-25k,上海,3-5年,黄浦区,150-500人,上海阿牛信息科技有限公司,"金融,移动互联网","技能培训,节日礼物,岗位晋升,年度旅游,","金融,",技术,最in互联网财经新媒体，千万金融高端用户,高级Python开发工程师,本科,B轮,2017-12-20 10:11:27
8k-16k,上海,1-3年,嘉定区,2000人以上,上海齐家网信息科技股份有限公司,"O2O ,生活服务","午餐补助,带薪年假,绩效奖金,交通补助,",,技术,互联网公司 O2O行业 多轮风投,Python开发工程师,不限,D轮及以上,2017-12-11 17:10:47
20k-40k,上海,5-10年,杨浦区,少于15人,源杉信息技术（上海）有限公司,"数据服务,金融","股票期权,美女多,领导好,扁平管理,","硬件制造,资深,高级,Java,",开发/测试/运维类,"人工智能,股票激励,大牛团队,发展空间大",Python后端开发工程师,本科,天使轮,2017-12-20 16:06:22
12k-24k,上海,3-5年,浦东新区,150-500人,上海微汇金融信息服务有限公司,金融,"技能培训,节日礼物,专项奖金,带薪年假,","金融,大数据,量化,",开发/测试/运维类,"弹性工作,补充公积金,补充医疗",高级Python工程师,不限,A轮,2017-12-20 14:36:27
